clause,law_name,content
《个人信息保护法》第一条,《个人信息保护法》,为保护个人信息权益、规范处理活动、促进合理利用，根据宪法制定本法。
《个人信息保护法》第二条,《个人信息保护法》,自然人个人信息受法律保护，任何组织、个人不得侵害其个人信息权益。
《个人信息保护法》第三条,《个人信息保护法》,境内处理自然人个人信息活动适用本法；境外处理境内自然人个人信息的三类情形亦适用。
《个人信息保护法》第四条,《个人信息保护法》,定义个人信息为与已识别/可识别自然人相关的信息（不含匿名化信息），明确处理行为范围。
《个人信息保护法》第五条,《个人信息保护法》,处理个人信息应遵循合法、正当、必要和诚信原则，禁止误导、欺诈、胁迫方式。
《个人信息保护法》第六条,《个人信息保护法》,处理目的应明确合理，与目的直接相关，采取对个人权益影响最小方式，不得过度收集。
《个人信息保护法》第七条,《个人信息保护法》,处理个人信息应遵循公开、透明原则，公开处理规则，明示目的、方式和范围。
《个人信息保护法》第八条,《个人信息保护法》,处理个人信息应保证质量，避免因不准确、不完整对个人权益造成不利影响。
《个人信息保护法》第九条,《个人信息保护法》,个人信息处理者对其处理活动负责，需采取必要措施保障信息安全。
《个人信息保护法》第十条,《个人信息保护法》,禁止非法收集、使用、加工、传输、买卖、提供、公开个人信息，禁止危害国家安全和公共利益的处理活动。
《个人信息保护法》第十一条,《个人信息保护法》,国家建立个人信息保护制度，预防惩治侵害行为，加强宣传教育，推动多方共同参与。
《个人信息保护法》第十二条,《个人信息保护法》,国家参与个人信息保护国际规则制定，促进国际交流合作与规则标准互认。
《个人信息保护法》第十三条,《个人信息保护法》,明确个人信息处理者可处理信息的七类情形，包括取得同意、合同必需、法定职责等。
《个人信息保护法》第十四条,《个人信息保护法》,基于同意处理信息需个人充分知情、自愿明确作出；变更处理目的/方式/种类需重新取得同意。
《个人信息保护法》第十五条,《个人信息保护法》,个人有权撤回同意，处理者应提供便捷撤回方式，撤回不影响撤回前活动效力。
《个人信息保护法》第十六条,《个人信息保护法》,处理者不得以个人不同意或撤回同意为由拒绝提供产品/服务（处理信息为必需的除外）。
《个人信息保护法》第十七条,《个人信息保护法》,处理前应向个人告知处理者信息、目的、方式、种类、保存期限、权利行使方式等事项，变更需告知。
《个人信息保护法》第十八条,《个人信息保护法》,存在法定保密或无需告知情形可不予告知；紧急情况无法及时告知的，紧急消除后需补告。
《个人信息保护法》第十九条,《个人信息保护法》,个人信息保存期限应为实现处理目的所必要的最短时间（法律、行政法规另有规定除外）。
《个人信息保护法》第二十条,《个人信息保护法》,多个处理者共同决定处理目的和方式的，需约定权利义务，侵害权益造成损害的承担连带责任。
《个人信息保护法》第二十一条,《个人信息保护法》,委托处理个人信息需约定相关事项并监督受托人，受托人不得超范围处理或擅自转委托。
《个人信息保护法》第二十二条,《个人信息保护法》,处理者因合并等原因转移信息需告知个人接收方信息，接收方应继续履行义务，变更处理需重新取得同意。
