clause,law_name,content

《通用数据保护条例（GDPR）》第1条,《通用数据保护条例（GDPR）》,本条例确立保护自然人在个人数据处理中的基本权利与自由，特别是其个人数据保护权，并规定数据自由流通不得因保护理由而受到限制。
《通用数据保护条例（GDPR）》第2条,《通用数据保护条例（GDPR）》,规定适用范围：适用于全部或部分以自动化方式进行的个人数据处理，以及档案系统中的非自动化处理；不适用于家庭或个人活动、刑事执法处理、欧盟机构等特定情形。
《通用数据保护条例（GDPR）》第3条,《通用数据保护条例（GDPR）》,规定地域适用范围：在欧盟境内的控制者或处理者处理个人数据适用本条例；即使在境外，只要向欧盟境内个人提供商品或服务，或监控其行为，也须遵守。
《通用数据保护条例（GDPR）》第4条,《通用数据保护条例（GDPR）》,列举关键定义，包括个人数据、数据主体、处理、档案系统、假名化、匿名化、控制者、处理者、同意、数据泄露、代表、跨境传输等。
《通用数据保护条例（GDPR）》第5条,《通用数据保护条例（GDPR）》,规定处理原则：合法性、公正性与透明性；目的限定；数据最少化；准确性并及时更正；存储期限限制；完整性与保密性；控制者负问责义务。
《通用数据保护条例（GDPR）》第6条,《通用数据保护条例（GDPR）》,明确合法处理基础：数据主体同意、履行合同、履行法定义务、保护重大利益、执行公共利益任务或官方权力、控制者或第三方的正当利益，须与基本权利平衡。
《通用数据保护条例（GDPR）》第7条,《通用数据保护条例（GDPR）》,规定同意条件：控制者必须证明主体已同意；同意须与其他事项区分，且应易于撤回；同意前应明确告知权利，撤回不影响先前处理合法性。
《通用数据保护条例（GDPR）》第8条,《通用数据保护条例（GDPR）》,儿童在信息社会服务中的同意：如未满16岁需经监护人同意；成员国可降低至不低于13岁；控制者须尽合理努力验证监护人同意。
《通用数据保护条例（GDPR）》第9条,《通用数据保护条例（GDPR）》,禁止处理敏感数据，如种族、政治见解、宗教信仰、工会成员、基因与生物识别、健康、性生活与性取向；例外包括明示同意、就业与社会保障法、重大公共利益、医疗服务、科研统计等。
《通用数据保护条例（GDPR）》第10条,《通用数据保护条例（GDPR）》,处理刑事定罪与犯罪相关数据须在欧盟或成员国法律授权下进行，并采取适当保障措施；集中管理须由官方机构负责。
《通用数据保护条例（GDPR）》第11条,《通用数据保护条例（GDPR）》,若控制者无需识别主体，则不必保留额外数据以识别个人；若无法识别，可拒绝履行部分权利请求，但必须告知当事人并采取保障措施。
《通用数据保护条例（GDPR）》第12条,《通用数据保护条例（GDPR）》,控制者须以简洁、透明、易懂的方式向主体提供信息并处理请求；在一个月内答复，可延长两个月；如请求明显过度或重复，可收取合理费用或拒绝。
《通用数据保护条例（GDPR）》第13条,《通用数据保护条例（GDPR）》,当数据直接从主体收集时，控制者须提供信息：身份与联系方式、代表与数据保护官、处理目的与法律依据、合法利益、接收者、跨境传输、保存期限、权利、投诉渠道，以及是否自动化决策。
《通用数据保护条例（GDPR）》第14条,《通用数据保护条例（GDPR）》,当数据非直接收集时，须提供类似信息，并额外说明来源及类别；须在合理期限内（最迟一个月）告知；规定例外，如主体已知或不可能通知。
《通用数据保护条例（GDPR）》第15条,《通用数据保护条例（GDPR）》,规定查阅权：主体可请求确认其数据是否被处理，获取目的、类别、接收者、保存期、权利、来源、自动化决策的逻辑与后果，并获得副本；对额外副本可收费。
《通用数据保护条例（GDPR）》第16条,《通用数据保护条例（GDPR）》,规定更正权：主体有权要求不准确的个人数据被更正，并补充不完整的数据。
《通用数据保护条例（GDPR）》第17条,《通用数据保护条例（GDPR）》,规定删除权（被遗忘权）：当数据不再必要、同意被撤回、反对处理、处理违法、法定义务要求时，主体可要求删除；控制者须通知接收者；例外包括言论自由、公共利益、法律义务、公共卫生、科研存档等。
《通用数据保护条例（GDPR）》第18条,《通用数据保护条例（GDPR）》,规定限制处理权：当主体质疑数据准确性、处理违法、控制者不再需要但主体要求保留，或主体反对处理时，可要求限制数据使用。
《通用数据保护条例（GDPR）》第19条,《通用数据保护条例（GDPR）》,控制者须将更正、删除或限制处理通知所有接收者，并告知主体；除非不可能或需付出过度努力。
《通用数据保护条例（GDPR）》第20条,《通用数据保护条例（GDPR）》,规定数据可携带权：主体有权以结构化、通用、机器可读的格式接收其数据，并传输至另一控制者；若技术可行，主体可要求直接传输；该权利不适用于为公共利益任务而处理的数据。
《通用数据保护条例（GDPR）》第21条,《通用数据保护条例（GDPR）》,规定反对权：主体可因自身情况反对基于公共利益或正当利益的处理，控制者除非证明有压倒性合法理由，否则必须停止；对直接营销的处理，主体可随时反对，且必须停止。
《通用数据保护条例（GDPR）》第22条,《通用数据保护条例（GDPR）》,规定自动化个别决策权：主体有权不受仅基于自动化处理（包括画像）而对其产生法律或重大影响的决定约束；例外包括合同需要、法律授权或明示同意，且须配合适当保障（如人工干预、陈述意见）。
《通用数据保护条例（GDPR）》第23条,《通用数据保护条例（GDPR）》,允许成员国法律在国家安全、国防、公共安全、刑事司法独立、预防调查犯罪等必要范围内，对主体权利进行限制；限制须尊重基本权利，并明确范围与保障措施。
《通用数据保护条例（GDPR）》第24条,《通用数据保护条例（GDPR）》,规定控制者的责任：应根据风险采取适当技术和组织措施，确保并证明处理符合条例；措施包括政策实施、人员培训、内部控制等。
《通用数据保护条例（GDPR）》第25条,《通用数据保护条例（GDPR）》,规定“内生保护”和“默认保护”：控制者在设计处理系统和产品时应嵌入数据保护；默认情况下仅收集必要数据、保存时间有限、访问最小化。
《通用数据保护条例（GDPR）》第26条,《通用数据保护条例（GDPR）》,联合控制者须通过安排明确各自责任，包括告知义务、回应权利请求；主要内容应向主体公开。
《通用数据保护条例（GDPR）》第27条,《通用数据保护条例（GDPR）》,在欧盟境外但受本条例约束的控制者或处理者须指定一名在欧盟境内的代表，负责与监管机构及主体沟通；规定例外情形（偶尔处理、低风险）。
《通用数据保护条例（GDPR）》第28条,《通用数据保护条例（GDPR）》,规定处理者的义务：须以书面合同约束；仅按控制者指示处理；保证保密性与安全；不得擅自分处理，除非经书面许可；在权利请求、数据泄露、影响评估中协助控制者。
《通用数据保护条例（GDPR）》第29条,《通用数据保护条例（GDPR）》,在控制者或处理者权责下的人员，仅可依指示处理数据，违反规定的行为应受责任追究。
《通用数据保护条例（GDPR）》第30条,《通用数据保护条例（GDPR）》,规定处理活动记录：控制者须保存数据类别、目的、接收者、转移情况、保存期限、安全措施等；处理者须保存代表控制者进行处理的类别和接收者；小型组织在低风险情形下可豁免。
《通用数据保护条例（GDPR）》第31条,《通用数据保护条例（GDPR）》,控制者和处理者有义务与监督机构合作，确保其权力有效行使。
《通用数据保护条例（GDPR）》第32条,《通用数据保护条例（GDPR）》,规定安全义务：控制者和处理者应依风险采取措施，包括加密、假名化、确保保密性、完整性、可用性、弹性，以及建立灾难恢复机制；需定期评估和改进。
《通用数据保护条例（GDPR）》第33条,《通用数据保护条例（GDPR）》,个人数据泄露须在发现后72小时内通报监管机构，除非风险不大；若逾期须说明理由；处理者发现泄露时应立即通知控制者。
《通用数据保护条例（GDPR）》第34条,《通用数据保护条例（GDPR）》,当泄露可能造成高风险时，控制者须不迟延通知主体，包括泄露性质、后果、措施；如数据已加密或采取补救措施，则可豁免通知。
《通用数据保护条例（GDPR）》第35条,《通用数据保护条例（GDPR）》,规定数据保护影响评估：当处理可能对主体权利造成高风险时，控制者需评估；应包括目的、风险分析、缓解措施；典型情形包括大规模监控、敏感数据处理、画像等。
《通用数据保护条例（GDPR）》第36条,《通用数据保护条例（GDPR）》,若评估显示高风险且控制者无法通过措施降低，则须事前咨询监管机构，提供评估报告、安全措施、职责分配等信息。
《通用数据保护条例（GDPR）》第37条,《通用数据保护条例（GDPR）》,规定数据保护官（DPO）的设立情形：公共机构、大规模监控主体、大规模处理敏感数据的控制者或处理者必须指定DPO；DPO可外部聘用或兼职。
《通用数据保护条例（GDPR）》第38条,《通用数据保护条例（GDPR）》,规定DPO的地位：应独立行使职责，不受指示或解雇；须获得足够资源；直接向最高管理层报告；主体可联系DPO行使权利。
《通用数据保护条例（GDPR）》第39条,《通用数据保护条例（GDPR）》,规定DPO任务：包括告知和建议控制者义务，监督合规，提升意识和培训，提供评估建议，作为监管机构与主体的联络点。
《通用数据保护条例（GDPR）》第40条,《通用数据保护条例（GDPR）》,鼓励制定行为守则，行业协会可提交草案，经监督机构与欧盟委员会批准后生效；守则可用于具体落实条例原则和跨境传输保障。
《通用数据保护条例（GDPR）》第41条,《通用数据保护条例（GDPR）》,规定行为守则的监督：可由具备独立性和专业性的机构负责监督守则的遵守，须经监督机构认可；监督机构需定期审查其表现。
《通用数据保护条例（GDPR）》第42条,《通用数据保护条例（GDPR）》,建立认证机制：鼓励开发数据保护认证、标志和标记，以证明控制者和处理者的合规；认证自愿申请，三年有效，可续期。
《通用数据保护条例（GDPR）》第43条,《通用数据保护条例（GDPR）》,规定认证机构的要求：须获得监督机构或国家认可机构授权，具备独立性、能力和公正性；受定期审查；违规时可撤销资格。
