clause,law_name,content
《香港个人资料（私隐）条例》第1条,《香港个人资料（私隐）条例》,规定条例简称及生效日期。
《香港个人资料（私隐）条例》第2条,《香港个人资料（私隐）条例》,界定“个人资料”“资料使用者”“资料当事人”等关键术语。
《香港个人资料（私隐）条例》第4条,《香港个人资料（私隐）条例》,资料使用者不得作出违反任何保障资料原则的行为。
《香港个人资料（私隐）条例》附表一,《香港个人资料（私隐）条例》,确立六项保障资料原则，包括收集、保存、安全、透明、查阅与更正。
《香港个人资料（私隐）条例》第18条,《香港个人资料（私隐）条例》,资料当事人有权要求查阅其个人资料。
《香港个人资料（私隐）条例》第22条,《香港个人资料（私隐）条例》,资料当事人有权要求更正不准确的个人资料。
《香港个人资料（私隐）条例》第26条,《香港个人资料（私隐）条例》,资料使用者在接获查阅或更正要求后必须在法定期限内答复。
《香港个人资料（私隐）条例》第30条,《香港个人资料（私隐）条例》,资料使用者可收取合理费用处理查阅资料要求，但须告知原因。
《香港个人资料（私隐）条例》第34条,《香港个人资料（私隐）条例》,规定在信贷参考资料使用与披露中的责任与限制。
《香港个人资料（私隐）条例》第35C条,《香港个人资料（私隐）条例》,资料使用者在使用个人资料作直接促销前须通知并取得同意。
《香港个人资料（私隐）条例》第35E条,《香港个人资料（私隐）条例》,资料当事人有权拒绝其个人资料被用于直接促销。
《香港个人资料（私隐）条例》第35F条,《香港个人资料（私隐）条例》,如当事人提出拒绝，资料使用者必须停止使用个人资料作直接促销。
《香港个人资料（私隐）条例》第51条至第63条,《香港个人资料（私隐）条例》,在国家安全、公共安全、新闻活动、法律要求等情况下，可豁免部分资料保障原则。
《香港个人资料（私隐）条例》第64条,《香港个人资料（私隐）条例》,禁止未经当事人同意披露个人资料，违者构成刑事罪行。
《香港个人资料（私隐）条例》第64A条,《香港个人资料（私隐）条例》,规定违反直销相关条文的刑事责任。
《香港个人资料（私隐）条例》第66G条,《香港个人资料（私隐）条例》,专员在调查时可进入处所及检查电子器材。
《香港个人资料（私隐）条例》第66H条,《香港个人资料（私隐）条例》,专员及其授权人员可截停、搜查和拘捕涉嫌违反本条例的人。
《香港个人资料（私隐）条例》第66I条,《香港个人资料（私隐）条例》,规定在执行搜查或拘捕时的法律保障与程序要求。
《香港个人资料（私隐）条例》第66O条,《香港个人资料（私隐）条例》,规定不遵从专员要求或提供虚假资料的刑事责任。
