clause,law_name,content
《澳门个人资料保护法》第1条,《澳门个人资料保护法》,确立个人资料处理与保护的法律制度，并说明基本目的。
《澳门个人资料保护法》第2条,《澳门个人资料保护法》,处理须尊重隐私与基本权利自由，强调合法性、透明性与比例性原则。
《澳门个人资料保护法》第3条,《澳门个人资料保护法》,适用于自动化处理与手工资料库，涵盖录像监视与公共安全处理；家庭纯个人活动除外。
《澳门个人资料保护法》第4条,《澳门个人资料保护法》,界定“个人资料”、“资料当事人”、“处理”、“资料库”、“负责人”、“次合同人”、“第三人”、“接收者”、“同意”、“互联”等术语。
《澳门个人资料保护法》第5条,《澳门个人资料保护法》,资料须为特定、明确、正当目的而收集；必须适当、相关且不过度；应保持准确，并按目的限期保存。
《澳门个人资料保护法》第6条,《澳门个人资料保护法》,处理须具合法基础，包括当事人同意、合同履行或前合同措施、法定义务、重大利益、公共利益或正当利益。
《澳门个人资料保护法》第7条,《澳门个人资料保护法》,敏感资料原则上禁止处理；在法律许可、重大公共利益或当事人明确同意等情况下，可以处理，但须采取特别保障。
《澳门个人资料保护法》第8条,《澳门个人资料保护法》,涉及违法与刑事资料的集中登记，仅限公共部门设立与处理，并须遵守严格的安全规则。
《澳门个人资料保护法》第9条,《澳门个人资料保护法》,资料互联与比对须合法、正当、非歧视，并具充分安全；未由法律或规章规定者，须事先申请许可。
《澳门个人资料保护法》第10条,《澳门个人资料保护法》,收集资料时须告知负责人身份、目的、接收者及权利行使方式；通过网络收集时须提示风险；同时规定了合理豁免。
《澳门个人资料保护法》第11条,《澳门个人资料保护法》,资料当事人享有查阅、更正、删除或封存等权利；可获知资料来源与自动化处理的主要考量，并应通知已获知资料的第三人。
《澳门个人资料保护法》第12条,《澳门个人资料保护法》,当事人可基于正当理由反对处理；对直接促销与商业考察可免费反对，且须事前获得明确告知。
《澳门个人资料保护法》第13条,《澳门个人资料保护法》,任何人不受仅基于自动化处理而产生法律效力或重大影响之决定约束；例外情形须具合法基础并配合适当保障。
《澳门个人资料保护法》第14条,《澳门个人资料保护法》,不法处理致损须赔偿；负责人可在无归责情形下减免责任；对次合同人适用委托与连带规则。
《澳门个人资料保护法》第15条,《澳门个人资料保护法》,负责人须采取技术与组织安全措施；仅能委托具充分保障的次合同人；并须以书面明确处理指示。
《澳门个人资料保护法》第16条,《澳门个人资料保护法》,规定进入控制、输入控制、使用控制、查阅控制、传送控制、引入控制与运输控制；健康等敏感资料须分开保存，并在必要时加密。
《澳门个人资料保护法》第17条,《澳门个人资料保护法》,次合同人仅能按负责人指示处理；履行法定义务的情形除外。
《澳门个人资料保护法》第18条,《澳门个人资料保护法》,负责人及其人员负职业保密义务，即使职务终止亦然；依法提供必要资讯的义务不受影响。
《澳门个人资料保护法》第19条,《澳门个人资料保护法》,对外转移须确保接收地具适当的保护程度；由公共当局整体评估并决定。
《澳门个人资料保护法》第20条,《澳门个人资料保护法》,在当事人同意、合同履行、公共或司法利益、当事人重大利益或公开登记等情形下，可向保护不足地区转移；也可在充分保障下获许可。
《澳门个人资料保护法》第21条,《澳门个人资料保护法》,负责人自处理开始八日内，须向公共当局书面通知；并规定了简化、豁免及特定非自动化处理的通知要求。
《澳门个人资料保护法》第22条,《澳门个人资料保护法》,处理敏感资料、信用资料、资料互联或改变处理目的，须经公共当局许可，或由法律、规章直接许可。
《澳门个人资料保护法》第23条,《澳门个人资料保护法》,许可或通知申请须载明：负责人信息、目的、资料种类、接收者、处理者、互联、保存期、权利行使方式、跨境转移安排及安全措施。
《澳门个人资料保护法》第24条,《澳门个人资料保护法》,许可或登记的强制性指示须列明关键事项；变更时须依程序申请修改。
《澳门个人资料保护法》第25条,《澳门个人资料保护法》,须许可或通知的处理应登记并可公开查阅；无须通知者仍负最低公开义务；公共当局年度报告可公布意见与许可。
《澳门个人资料保护法》第26条,《澳门个人资料保护法》,公共当局鼓励与支持行业制定行为守则，以促进合规。
