clause,law_name,content
《人类遗传资源管理条例实施细则》第一条,《人类遗传资源管理条例实施细则》,为有效保护和合理利用我国人类遗传资源，维护公众健康、国家安全和社会公共利益，根据《中华人民共和国生物安全法》《中华人民共和国人类遗传资源管理条例》制定本实施细则。
《人类遗传资源管理条例实施细则》第二条,《人类遗传资源管理条例实施细则》,采集、保藏、利用、对外提供我国人类遗传资源应遵守本细则；“人类遗传资源信息”包括利用遗传资源材料产生的人类基因、基因组数据等；不包括临床数据、影像数据、蛋白质数据和代谢数据。
《人类遗传资源管理条例实施细则》第三条,《人类遗传资源管理条例实施细则》,科学技术部负责全国人类遗传资源调查、行政许可、监督检查、行政处罚等管理工作，并可依法委托相关组织开展形式审查、技术评审、备案、事先报告、监督检查和行政处罚等工作。
《人类遗传资源管理条例实施细则》第四条,《人类遗传资源管理条例实施细则》,省级科技行政部门负责本区域监督检查与日常管理、职权范围内的违法案件调查处理，并可承接科技部委托的调查、许可等管理工作。
《人类遗传资源管理条例实施细则》第五条,《人类遗传资源管理条例实施细则》,科技部和省级科技行政部门应加强监管力量，配备行政执法人员，依法对相关活动开展监督检查，履行监管职责。
《人类遗传资源管理条例实施细则》第六条,《人类遗传资源管理条例实施细则》,科技部设立专家咨询委员会，由生命科学与技术、医药、卫生、伦理、法律、信息安全等领域专家组成，为管理工作提供决策咨询与技术支撑。
《人类遗传资源管理条例实施细则》第七条,《人类遗传资源管理条例实施细则》,支持合理利用人类遗传资源开展科研、发展生物医药产业、提高诊疗技术；加强监管，优化审批服务，提高效率，推进审批规范化与信息公开。
《人类遗传资源管理条例实施细则》第八条,《人类遗传资源管理条例实施细则》,相关活动应符合伦理原则，并通过已备案的伦理（审查）委员会审查；伦理审查应遵守法律、行政法规和国家有关规定。
《人类遗传资源管理条例实施细则》第九条,《人类遗传资源管理条例实施细则》,应尊重并保障提供者的隐私权和个人信息等权益，按规定获取书面知情同意，确保提供者合法权益不受侵害。
《人类遗传资源管理条例实施细则》第十条,《人类遗传资源管理条例实施细则》,相关活动应遵守科技活动的要求及技术规范，包括但不限于标准、规范、规程等。
《人类遗传资源管理条例实施细则》第十一条,《人类遗传资源管理条例实施细则》,在我国境内采集、保藏我国人类遗传资源或向境外提供，应由中方单位开展（设在港澳的内资实控机构视为中方单位）；外方单位及境外个人不得在我国境内采集、保藏我国人类遗传资源，不得向境外提供。
《人类遗传资源管理条例实施细则》第十二条,《人类遗传资源管理条例实施细则》,界定“境外组织、个人设立或实际控制的机构”的情形：包括持股（含间接）50%以上；虽未达50%但能支配或施加重大影响；通过投资关系、协议等足以支配或施加重大影响；以及法律法规规定的其他情形。
《人类遗传资源管理条例实施细则》第十三条,《人类遗传资源管理条例实施细则》,单位应健全内部管理制度，对涉及人类遗传资源的科研目的和研究方案等进行审查，确保合法使用。
《人类遗传资源管理条例实施细则》第十四条,《人类遗传资源管理条例实施细则》,国际科研合作应保证中方单位及研究人员全过程、实质性参与并依法分享权益；合作过程中产生的全部记录与数据等应完全向中方开放，并向中方提供备份。
《人类遗传资源管理条例实施细则》第十五条,《人类遗传资源管理条例实施细则》,科技部建立统一的行政许可、备案与安全审查信息系统平台，支持线上办理，推进实时动态管理，实现信息可追溯、可查询。
《人类遗传资源管理条例实施细则》第十六条,《人类遗传资源管理条例实施细则》,推动科研机构、高校、医疗机构和企业依法依规开展保藏工作，推进标准化、规范化的保藏基础平台和大数据建设，并按规定向有关单位开放。
《人类遗传资源管理条例实施细则》第十七条,《人类遗传资源管理条例实施细则》,针对公共卫生等突发事件建立快速审批机制，统一指挥、高效快速、科学审批；具体情形、程序、时限和要求由科技部另行规定。
《人类遗传资源管理条例实施细则》第十八条,《人类遗传资源管理条例实施细则》,科技部制定并发布行政许可、备案等服务指南与示范文本，为申请人提供便捷、专业的指导与服务。
