clause,law_name,content
《中华人民共和国疫苗管理法》第一条,《中华人民共和国疫苗管理法》,为了加强疫苗管理,保证疫苗质量和供应,规范预防接种,促进疫苗行业发展,保障公众健康,维护公共卫生安全,制定本法。
《中华人民共和国疫苗管理法》第二条,《中华人民共和国疫苗管理法》,在中华人民共和国境内从事疫苗研制、生产、流通和预防接种及其监督管理活动,适用本法。本法未作规定的,适用药品管理法、传染病防治法等法律法规。本法所称疫苗,是指用于人体免疫接种的预防性生物制品,包括免疫规划疫苗和非免疫规划疫苗。
《中华人民共和国疫苗管理法》第三条,《中华人民共和国疫苗管理法》,国家对疫苗实行最严格的管理制度,坚持安全第一、风险管理、全程管控、科学监管、社会共治。
《中华人民共和国疫苗管理法》第四条,《中华人民共和国疫苗管理法》,国家坚持疫苗产品的战略性和公益性,支持基础研究和应用研究,促进研制创新,将重大疾病疫苗纳入国家战略,制定产业政策,推动产业结构优化和工艺质量提升。
《中华人民共和国疫苗管理法》第五条,《中华人民共和国疫苗管理法》,疫苗上市许可持有人应加强全生命周期质量管理,对安全性、有效性和质量负责。相关单位和个人应保证信息真实、完整、可追溯,并承担责任,接受监督。
《中华人民共和国疫苗管理法》第六条,《中华人民共和国疫苗管理法》,国家实行免疫规划制度,居民依法享有接种权利和义务,政府免费提供免疫规划疫苗。各级政府应保障适龄儿童接种,监护人应确保按时接种。
《中华人民共和国疫苗管理法》第七条,《中华人民共和国疫苗管理法》,县级以上政府应将疫苗安全和接种纳入国民经济和社会发展规划,统一领导和管理本行政区域的相关工作。
《中华人民共和国疫苗管理法》第八条,《中华人民共和国疫苗管理法》,国务院药品监督管理部门负责全国疫苗监督管理,国务院卫生健康主管部门负责全国接种监督管理,地方政府及相关部门在职责范围内负责本区域工作。
《中华人民共和国疫苗管理法》第九条,《中华人民共和国疫苗管理法》,国务院和省级政府建立协调机制,定期分析安全形势,统筹协调疫苗监督和供应。
《中华人民共和国疫苗管理法》第十条,《中华人民共和国疫苗管理法》,国家实行全程电子追溯制度,建立全国协同平台,实现生产、流通和接种全过程最小包装单位疫苗的可追溯、可核查。
